2018-11-01 20:34:30 status unpacked gitk:all 1:2.17.1-1ubuntu0.3
2018-11-01 20:34:30 startup packages configure
2018-11-01 20:34:30 configure git-man:all 1:2.17.1-1ubuntu0.3 <none>
2018-11-01 20:34:30 status unpacked git-man:all 1:2.17.1-1ubuntu0.3
2018-11-01 20:34:30 status half-configured git-man:all 1:2.17.1-1ubuntu0.3
2018-11-01 20:34:30 status installed git-man:all 1:2.17.1-1ubuntu0.3
2018-11-01 20:34:30 configure liberror-perl:all 0.17025-1 <none>
2018-11-01 20:34:30 status unpacked liberror-perl:all 0.17025-1
2018-11-01 20:34:30 status half-configured liberror-perl:all 0.17025-1
2018-11-01 20:34:30 status installed liberror-perl:all 0.17025-1
2018-11-01 20:34:30 trigproc libc-bin:amd64 2.27-3ubuntu1 <none>
2018-11-01 20:34:30 status half-configured libc-bin:amd64 2.27-3ubuntu1
2018-11-01 20:34:30 status installed libc-bin:amd64 2.27-3ubuntu1
2018-11-01 20:34:30 trigproc man-db:amd64 2.8.3-2 <none>
2018-11-01 20:34:30 status half-configured man-db:amd64 2.8.3-2
2018-11-01 20:34:37 status installed man-db:amd64 2.8.3-2
2018-11-01 20:34:37 configure libtcl8.6:amd64 8.6.8+dfsg-3 <none>
2018-11-01 20:34:37 status triggers-pending libc-bin:amd64 2.27-3ubuntu1
2018-11-01 20:34:37 status unpacked libtcl8.6:amd64 8.6.8+dfsg-3
2018-11-01 20:34:37 status half-configured libtcl8.6:amd64 8.6.8+dfsg-3
2018-11-01 20:34:37 status installed libtcl8.6:amd64 8.6.8+dfsg-3
2018-11-01 20:34:37 configure git:amd64 1:2.17.1-1ubuntu0.3 <none>
2018-11-01 20:34:37 status unpacked git:amd64 1:2.17.1-1ubuntu0.3
2018-11-01 20:34:37 status unpacked git:amd64 1:2.17.1-1ubuntu0.3
2018-11-01 20:34:38 status half-configured git:amd64 1:2.17.1-1ubuntu0.3
2018-11-01 20:34:38 status installed git:amd64 1:2.17.1-1ubuntu0.3
2018-11-01 20:34:38 configure libtk8.6:amd64 8.6.8-4 <none>
2018-11-01 20:34:38 status unpacked libtk8.6:amd64 8.6.8-4
2018-11-01 20:34:38 status half-configured libtk8.6:amd64 8.6.8-4
2018-11-01 20:34:38 status installed libtk8.6:amd64 8.6.8-4
2018-11-01 20:34:38 configure tcl8.6:amd64 8.6.8+dfsg-3 <none>
2018-11-01 20:34:38 status unpacked tcl8.6:amd64 8.6.8+dfsg-3
2018-11-01 20:34:38 status half-configured tcl8.6:amd64 8.6.8+dfsg-3
2018-11-01 20:34:38 status installed tcl8.6:amd64 8.6.8+dfsg-3
2018-11-01 20:34:38 configure tk8.6:amd64 8.6.8-4 <none>
2018-11-01 20:34:38 status unpacked tk8.6:amd64 8.6.8-4
2018-11-01 20:34:38 status half-configured tk8.6:amd64 8.6.8-4
2018-11-01 20:34:38 status installed tk8.6:amd64 8.6.8-4
2018-11-01 20:34:38 configure tcl:amd64 8.6.0+9 <none>
2018-11-01 20:34:38 status unpacked tcl:amd64 8.6.0+9
2018-11-01 20:34:38 status half-configured tcl:amd64 8.6.0+9
2018-11-01 20:34:38 status installed tcl:amd64 8.6.0+9
2018-11-01 20:34:38 configure tk:amd64 8.6.0+9 <none>
2018-11-01 20:34:38 status unpacked tk:amd64 8.6.0+9
2018-11-01 20:34:38 status half-configured tk:amd64 8.6.0+9
2018-11-01 20:34:38 status installed tk:amd64 8.6.0+9
2018-11-01 20:34:38 configure gitk:all 1:2.17.1-1ubuntu0.3 <none>
2018-11-01 20:34:38 status unpacked gitk:all 1:2.17.1-1ubuntu0.3
2018-11-01 20:34:38 status half-configured gitk:all 1:2.17.1-1ubuntu0.3
2018-11-01 20:34:38 status installed gitk:all 1:2.17.1-1ubuntu0.3
2018-11-01 20:34:38 trigproc libc-bin:amd64 2.27-3ubuntu1 <none>
2018-11-01 20:34:38 status half-configured libc-bin:amd64 2.27-3ubuntu1
